[2026-08-16 00:09:53.673 (UTC+0800)] [33mwarn/server[0m	AccessControl: Unconfigured AccessControl. Users have all permissions.
[2026-08-15 16:11:53.800 (UTC)] info/application	[Sensor] Updated distance: 30.4652632607451 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:11:54.802 (UTC)] info/application	[Sensor] Updated distance: 44.925494385382855 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:11:55.804 (UTC)] info/application	[Sensor] Updated distance: 44.13764517481329 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:11:56.805 (UTC)] info/application	[Sensor] Updated distance: 35.34532054576339 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:11:57.798 (UTC)] info/application	[Sensor] Updated distance: 15.777198060311934 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:11:58.800 (UTC)] info/application	[Sensor] Updated distance: 40.422390262792995 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:11:59.803 (UTC)] info/application	[Sensor] Updated distance: 43.8512466521241 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:12:00.806 (UTC)] info/application	[Sensor] Updated distance: 42.37301458808268 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:12:01.798 (UTC)] info/application	[Sensor] Updated distance: 19.096213117752324 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:12:02.801 (UTC)] info/application	[Sensor] Updated distance: 22.508799853040276 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:12:03.803 (UTC)] info/application	[Sensor] Updated distance: 46.2607271579377 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:12:04.806 (UTC)] info/application	[Sensor] Updated distance: 20.923197911550847 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:12:05.798 (UTC)] info/application	[Sensor] Updated distance: 34.07224220040824 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:12:06.801 (UTC)] info/application	[Sensor] Updated distance: 19.54449191761412 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:12:07.804 (UTC)] info/application	[Sensor] Updated distance: 33.631021857089834 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:12:08.806 (UTC)] info/application	[Sensor] Updated distance: 27.801146839652745 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:12:09.799 (UTC)] info/application	[Sensor] Updated distance: 8.271731334864967 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:12:10.802 (UTC)] info/application	[Sensor] Updated distance: 9.243917774056978 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:12:11.804 (UTC)] info/application	[Sensor] Updated distance: 26.06556477773262 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:12:12.807 (UTC)] info/application	[Sensor] Updated distance: 33.16510974576934 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:12:13.799 (UTC)] info/application	[Sensor] Updated distance: 6.544688644141279 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:12:14.802 (UTC)] info/application	[Sensor] Updated distance: 37.88662950130488 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:12:15.804 (UTC)] info/application	[Sensor] Updated distance: 43.580944937458696 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:12:16.807 (UTC)] info/application	[Sensor] Updated distance: 12.514012445935053 cm | Severity=75 | SourceName=Sensor3 | EventType=application
