[2026-08-16 20:20:21.253 (UTC)] info/application	[Sensor] Updated distance: 18.6154560901297 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:20:22.253 (UTC)] info/application	[Sensor] Updated distance: 19.9820891169282 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:20:23.253 (UTC)] info/application	[Sensor] Updated distance: 19.6994305149184 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:20:24.253 (UTC)] info/application	[Sensor] Updated distance: 19.2621186076487 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:20:25.254 (UTC)] info/application	[Sensor] Updated distance: 19.8914028875956 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:20:26.254 (UTC)] info/application	[Sensor] Updated distance: 18.6455735220321 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:20:27.255 (UTC)] info/application	[Sensor] Updated distance: 17.2226282922657 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:20:28.257 (UTC)] info/application	[Sensor] Updated distance: 17.0654686044741 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:20:29.257 (UTC)] info/application	[Sensor] Updated distance: 16.6456348386806 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:20:30.259 (UTC)] info/application	[Sensor] Updated distance: 15.8153914936424 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:20:31.259 (UTC)] info/application	[Sensor] Updated distance: 14.8920109481048 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:20:32.259 (UTC)] info/application	[Sensor] Updated distance: 14.1168690876183 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:20:33.259 (UTC)] info/application	[Sensor] Updated distance: 13.5870842959672 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:20:34.260 (UTC)] info/application	[Sensor] Updated distance: 12.986154682695 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:20:35.259 (UTC)] info/application	[Sensor] Updated distance: 11.8676544995362 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:20:36.260 (UTC)] info/application	[Sensor] Updated distance: 10.9063655060746 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:20:37.260 (UTC)] info/application	[Sensor] Updated distance: 11.3481403995995 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:20:38.251 (UTC)] info/application	[Sensor] Updated distance: 11.506965493321 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:20:39.251 (UTC)] info/application	[Sensor] Updated distance: 11.4562280906626 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:20:40.251 (UTC)] info/application	[Sensor] Updated distance: 10.0643657434566 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:20:41.252 (UTC)] info/application	[Sensor] Updated distance: 8.89187339548577 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:20:42.253 (UTC)] info/application	[Sensor] Updated distance: 10.2926170843619 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:20:43.253 (UTC)] info/application	[Sensor] Updated distance: 9.77231051389704 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:20:44.254 (UTC)] info/application	[Sensor] Updated distance: 8.68227919944671 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:20:45.254 (UTC)] info/application	[Sensor] Updated distance: 9.80556996856147 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:20:46.254 (UTC)] info/application	[Sensor] Updated distance: 11.1606788605734 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:20:47.255 (UTC)] info/application	[Sensor] Updated distance: 11.0346744666038 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:20:48.255 (UTC)] info/application	[Sensor] Updated distance: 12.441684195279 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:20:49.256 (UTC)] info/application	[Sensor] Updated distance: 12.2542484850876 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:20:50.256 (UTC)] info/application	[Sensor] Updated distance: 11.0398345806356 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:20:51.257 (UTC)] info/application	[Sensor] Updated distance: 9.6465156989389 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:20:52.257 (UTC)] info/application	[Sensor] Updated distance: 8.86984671855807 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:20:53.258 (UTC)] info/application	[Sensor] Updated distance: 7.52206583950767 cm | Severity=75 | SourceName=Sensor2 | EventType=application
