[2026-08-16 01:08:56.558 (UTC+0800)] [33mwarn/server[0m	AccessControl: Unconfigured AccessControl. Users have all permissions.
[2026-08-15 17:11:08.688 (UTC)] info/application	[Sensor] Updated distance: 17.81133823833025 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:11:09.690 (UTC)] info/application	[Sensor] Updated distance: 6.1564422194643145 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:11:10.682 (UTC)] info/application	[Sensor] Updated distance: 40.902193132276736 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:11:11.684 (UTC)] info/application	[Sensor] Updated distance: 6.1901297812304135 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:11:12.687 (UTC)] info/application	[Sensor] Updated distance: 4.308323965551482 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:11:13.689 (UTC)] info/application	[Sensor] Updated distance: 40.7311589898221 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:11:14.681 (UTC)] info/application	[Sensor] Updated distance: 12.246198413076902 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:11:15.684 (UTC)] info/application	[Sensor] Updated distance: 43.56510470507904 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:11:16.686 (UTC)] info/application	[Sensor] Updated distance: 14.10662349132198 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:11:17.689 (UTC)] info/application	[Sensor] Updated distance: 49.48895603394553 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:11:18.681 (UTC)] info/application	[Sensor] Updated distance: 8.395883302388658 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:11:19.685 (UTC)] info/application	[Sensor] Updated distance: 4.338336252764956 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:11:20.687 (UTC)] info/application	[Sensor] Updated distance: 10.901516173454707 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:11:21.689 (UTC)] info/application	[Sensor] Updated distance: 47.90253872326693 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:11:22.691 (UTC)] info/application	[Sensor] Updated distance: 43.13544298388783 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:11:23.683 (UTC)] info/application	[Sensor] Updated distance: 38.177132250823604 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:11:24.685 (UTC)] info/application	[Sensor] Updated distance: 48.66014379200532 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:11:25.688 (UTC)] info/application	[Sensor] Updated distance: 24.384896542124867 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:11:26.681 (UTC)] info/application	[Sensor] Updated distance: 34.96096158072397 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:11:27.684 (UTC)] info/application	[Sensor] Updated distance: 21.238976681250602 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:11:28.686 (UTC)] info/application	[Sensor] Updated distance: 43.69194395546426 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:11:29.689 (UTC)] info/application	[Sensor] Updated distance: 41.80288231736183 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:11:30.681 (UTC)] info/application	[Sensor] Updated distance: 5.747172148780511 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:11:31.684 (UTC)] info/application	[Sensor] Updated distance: 16.032399206437354 cm | Severity=75 | SourceName=Sensor3 | EventType=application
